cliente,cnpj,status_cup,data_inativacao_estimada,parcela_id,data_quitacao,valor_pago
Protect Pet,46325397000192,cancelado/inativo,1736996400000,5ca8c9aa-7f3e-11ef-89c2-cf646e3d9701,1754017200000,985.00
Protect Pet,46325397000192,cancelado/inativo,1736996400000,5ca8face-7f3e-11ef-ab42-ff9259b4f2a8,1741143600000,1000.00
Rabo do Lagarto,13011684000179,cancelado/inativo,1741834800000,2c33e1bc-219f-11ef-a5d1-fb9dc6e56350,1746500400000,2758.00
Reverso Concursos,53156053000162,cancelado/inativo,1757559600000,8c5e0145-ef06-46a8-96e7-9d268e5614dd,1760929200000,1671.54
Rifletti,41250891000200,cancelado/inativo,1740106800000,2a76c384-b1a6-11ef-986a-4be52b32787f,1743390000000,1997.00
Rio do Rastro,04288517000189,cancelado/inativo,1761188400000,4c4f49d3-bf99-4fb5-bf7a-0316b2141441,1765767600000,1477.50
Rise,59451793000108,cancelado/inativo,1747364400000,bdba0b80-a86c-4811-a261-e4b6448e76d4,1750388400000,492.50
Salao Rafa Brasil,23485186000111,cancelado/inativo,1757991600000,0fcffb12-81ef-48dd-b290-5445c563afa7,1767754800000,2870.80
Salao Rafa Brasil,23485186000111,cancelado/inativo,1757991600000,2cd829a1-f74c-41a7-9480-0b280117ff99,1770346800000,2870.80
Score,49611490000151,cancelado/inativo,1754017200000,74e686a4-610b-4c7e-8fb1-214b237d3f5b,1759201200000,1967.04
Score,49611490000151,cancelado/inativo,1754017200000,a3fa0533-1b9e-43e8-8dfd-7f0e63ddd48e,1760497200000,492.50
Score,49611490000151,cancelado/inativo,1754017200000,aa342f2b-5b6c-478a-8d50-0a9918c333bc,1759114800000,1967.04
Score,49611490000151,cancelado/inativo,1754017200000,afa5c182-36b9-49c2-b4b9-1e71a3efe28f,1760497200000,492.50
SD Assessoria Advogados,52459578000104,cancelado/inativo,1768878000000,c5a912e0-90fa-4163-b980-4dbfa9c429f0,1771556400000,1997.00
ShopCão,02658109000499,cancelado/inativo,1765940400000,62e9b180-d030-4831-9d78-91e9a349d6ee,1768964400000,2576.07
Shopping das antenas,14155151000123,cancelado/inativo,1733194800000,02cd1659-403e-401a-89bc-ce8a80341347,1736132400000,1997.00
SIAC Tecnologia ,24603415000118,cancelado/inativo,1747710000000,8a06896f-6819-4974-84bf-c35991035a58,1750388400000,1967.04
Sofavix,56201250000144,cancelado/inativo,1748746800000,58d1a06c-5f9a-4f6e-bb46-8438456b0504,1756177200000,2955.00
Sofavix,56201250000144,cancelado/inativo,1748746800000,785a0233-c862-4300-8866-4ae17b6014a9,1756695600000,788.00
Solution,44347878000173,cancelado/inativo,1729652400000,1532698e-0b80-4e69-8b05-1f2c0412ea33,1759719600000,566.67
Solution,44347878000173,cancelado/inativo,1729652400000,8f2d253e-ab97-4421-abbf-d37c529851b6,1762311600000,566.66
Solution,44347878000173,cancelado/inativo,1729652400000,e4268370-ed6f-4ec1-90e8-d5090b18a42d,1757041200000,566.67
Spark,57020452000152,cancelado/inativo,1753758000000,87816597-d432-4c66-a49e-099956cc94a9,1758682800000,2459.54
Stand By Eventos,11789108000121,cancelado/inativo,1732849200000,038ace97-6117-4ba0-b3b8-e4633fbdc96d,1736737200000,1997.00
Sthor,31337424000170,cancelado/inativo,1736910000000,2cf200cc-7076-11ef-8c60-f764973c5861,1740020400000,1997.00
Sthor,31337424000170,cancelado/inativo,1736910000000,2cf25112-7076-11ef-9b5a-af04592c366d,1742439600000,1967.04
Sthor,31337424000170,cancelado/inativo,1736910000000,499ac4ca-5fb4-4553-ae4a-20c61dfb82f0,1747710000000,1967.04
Sthor,31337424000170,cancelado/inativo,1736910000000,bc397ce7-5db6-4c87-906b-608ce3046e8e,1750388400000,1967.04
Sthor,31337424000170,cancelado/inativo,1736910000000,c4375013-a67d-445c-8f6f-e0680abfcb63,1745118000000,1967.04
Think Nutrition,50888278000115,cancelado/inativo,1743735600000,1027c74d-30b6-4b00-b422-4f63e2391ff1,1748314800000,1474.54
Think Nutrition,50888278000115,cancelado/inativo,1743735600000,72f0c9bf-5152-4bb1-8a43-d7fd5c39a40c,1747796400000,3442.58
Trajo,45295815000183,cancelado/inativo,1733194800000,5f602b60-ccc5-11ee-8b34-43da93fda1d4,1736996400000,666.67
Uso.Male,29872930000117,cancelado/inativo,1752462000000,532de5e3-9154-4f46-b3d4-1901479ad8fd,1768964400000,1967.04
Uso.Male,29872930000117,cancelado/inativo,1752462000000,dba1a071-ae90-41f5-9a1f-f4b5f567ae83,1755313200000,1967.04
Vale Beleza,58586813000195,cancelado/inativo,1748746800000,d777d786-67f7-4478-905d-cbe2d8d069e4,1761188400000,3000.00
Vila da Praia - Ponto Mix,40367733000183,cancelado/inativo,1739242800000,ba0e60e4-b7e4-11ef-85f3-1f89038bdefc,1743130800000,1997.00
Vila Urbana,42617846000115,cancelado/inativo,1764903600000,e8ea337f-5632-4236-bc04-5017b9ce3c29,1771902000000,2497.00
Vix Peças,28663808000178,cancelado/inativo,1740106800000,1288b15c-3e6f-4cd6-8053-4b6140371e6a,1756695600000,2394.00
WD Engenharia e Manutenção,23722593000103,cancelado/inativo,1735614000000,e2314c86-5aff-11ef-a145-1b2a1d1c3cd3,1740106800000,2000.00
Webleilões ,48122200000143,cancelado/inativo,1745982000000,4d89237a-8798-461e-989c-344026e02644,1756090800000,984.02
Yummy Fit,56904690000168,cancelado/inativo,1736132400000,b24201d7-73af-40be-a152-8bf7fd567abc,1754017200000,2994.00
Zenvia,14096190000105,cancelado/inativo,1755054000000,3fbe0763-866a-4a64-8d49-f2d919f8c3e3,1760065200000,1772.02
