"id","contrato_id","plano_servico_id","quantidade","valor_unitario","valor_total","modalidade","valor_original","valor_negociado","desconto_percentual","tipo_desconto","valor_desconto","valor_final","economia","vigencia_desconto","periodo_desconto","apos_periodo","forma_pagamento","num_parcelas","valor_parcela","observacoes"
"217","149","38","1","20000.00","20000.00","pontual","20000.00","20000.00","0.00",NULL,"0.00","20000.00","0.00","permanente",,"valor_original","parcelado","5","0.00",NULL
"234","161","22","1","2475.00","2475.00","recorrente","2750.00","2475.00","10.00",NULL,"0.00","2475.00","275.00","temporario","3","valor_original","avista","2","0.00",NULL
"225","154","26","1","9000.00","9000.00","recorrente","9997.00","9000.00","9.97",NULL,"0.00","9000.00","997.00","temporario","3","valor_original","avista","2","0.00",NULL
"224","154","22","1","2475.00","2475.00","recorrente","2750.00","2475.00","10.00",NULL,"0.00","2475.00","275.00","temporario","3","valor_original","avista","2","0.00",NULL
"221","152","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","4","0.00",NULL
"227","156","25","1","2998.50","2998.50","recorrente","5997.00","2998.50","50.00",NULL,"0.00","2998.50","2998.50","permanente",,"valor_original","avista","2","0.00",NULL
"228","157","21","1","3997.00","3997.00","recorrente","2997.00","3997.00","86.69",NULL,"0.00","3997.00","-1000.00","permanente",,"valor_original","avista","2","0.00",NULL
"229","157","27","1","1000.00","1000.00","recorrente","1697.00","1000.00","41.07",NULL,"0.00","1000.00","697.00","permanente",,"valor_original","avista","2","0.00",NULL
"232","159","38","1","20000.00","20000.00","pontual","20000.00","20000.00","0.00",NULL,"0.00","20000.00","0.00","permanente",,"valor_original","parcelado","5","0.00",NULL
"233","160","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"235","162","38","1","7000.00","7000.00","pontual","20000.00","7000.00","65.00",NULL,"0.00","7000.00","13000.00","permanente",,"valor_original","parcelado","3","0.00",NULL
"689","437","56","1","8000.00","8000.00","pontual","1500.00","8000.00","46.67",NULL,"0.00","8000.00","-6500.00","permanente",,"valor_original","avista","2","0.00",NULL
"367","250","32","1","3500.00","3500.00","recorrente","2997.00","3500.00","88.32",NULL,"0.00","3500.00","-503.00","permanente",,"valor_original","avista","2","0.00",NULL
"242","166","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","2","0.00",NULL
"243","167","24","1","3997.00","3997.00","recorrente","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"245","169","24","1","3997.00","3997.00","pontual","3997.00","3997.00","0.00",NULL,"0.00","3997.00","0.00","permanente",,"valor_original","parcelado","4","0.00",NULL
"246","170","22","1","2497.00","2497.00","recorrente","2750.00","2497.00","9.20",NULL,"0.00","2497.00","253.00","permanente",,"valor_original","avista","2","0.00",NULL
"247","170","53","1","3000.00","3000.00","recorrente","3000.00","3000.00","0.00",NULL,"0.00","3000.00","0.00","permanente",,"valor_original","avista","2","0.00",NULL
"248","171","24","1","3600.00","3600.00","recorrente","3997.00","3600.00","9.93",NULL,"0.00","3600.00","397.00","permanente",,"valor_original","avista","2","0.00",NULL
"256","177","38","1","20000.00","20000.00","pontual","20000.00","20000.00","0.00",NULL,"0.00","20000.00","0.00","permanente",,"valor_original","parcelado","5","0.00",NULL
"436","296","53","1","4497.00","4497.00","recorrente","3000.00","4497.00","85.03",NULL,"0.00","4497.00","-1497.00","permanente",,"valor_original","avista","2","0.00",NULL
"432","294","38","1","20000.00","20000.00","pontual","20000.00","20000.00","0.00",NULL,"0.00","20000.00","0.00","permanente",,"valor_original","parcelado","3","0.00",NULL
"430","292","21","1","2497.00","2497.00","recorrente","2997.00","2497.00","16.68",NULL,"0.00","2497.00","500.00","permanente",,"valor_original","avista","2","0.00",NULL
"320","217","27","1","1100.00","1100.00","pontual","1697.00","1100.00","35.18",NULL,"0.00","1100.00","597.00","permanente",,"valor_original","avista","2","0.00",NULL
