Criativo,,"Último atualização: segunda-feira, 8 de dezembro",,,,,,,,,,,,,,,,,,,,,,,,,
Funil,"ADV+Creators, Remarketing, Creators, Geral, IA, Google, IFV",-,,,,,,,,,,,,,,,,,,,,,,,,,
Data Inicial,01/11/2025,Investimento,,,,,,,,,,,,,,,,,,,,,,,,,
Data final,08/12/2025, Descrescente,,,,,,,,,,,,,,,,,,,,,,,,,
Todos,AD ID,AD Name,Link,Data de Criação,Status,Investimento,CTR,CPM,Leads,CPL,MQL,% MQL,CPMQL,RA,% RA,CPRA,% RA MQL,RR,% RR,CPRR,Ganhos Aceleração,Ganhos Pontuais,CAC Aceleração,Lead Time Cliente Único,Clientes únicos,% RR > Cliente,CAC Único
Pausado,120234744377130450,TP780 -  CREATORS HOOK 1 REELS -  - 03.10,https://fb.me/1REOxCQ0GrosOL6,03/10/2025,Pausado,R$ 553,"1,20%",R$ 135,6,R$ 92,0,0%,-,1,17%,R$ 553,"0,00%",0,"0,00%",,,,,,0,-,-
Pausado,120235996076190450,TP816 - vertical hook 2 body 2 cta 1 -  - 20.10,https://fb.me/26AJVdlKITDHKho,20/10/2025,Pausado,R$ 551,"1,11%",R$ 157,2,R$ 276,0,0%,-,1,50%,R$ 551,"0,00%",1,"100,00%","R$ 551,13",,,,,0,0%,-
Pausado,120233673067160450,TP749 - vv-remarketing-esther- insta - 1x - 1h -  - 15.09,https://fb.me/1XDDXiCfnVrBVST,15/09/2025,Pausado,R$ 524,"0,80%",R$ 149,2,R$ 262,1,50%,"R$ 523,84",0,0%,-,-,0,,,,,,,0,-,-
Pausado,120233674303760450,TP753 - vv-remarketing-esther- insta - 2x - 2h -  - 15.09,https://fb.me/1PgZZWkuKcPgTxs,15/09/2025,Pausado,R$ 520,"1,04%",R$ 142,7,R$ 74,1,14%,"R$ 520,21",1,14%,R$ 520,"100,00%",1,"100,00%","R$ 520,21",,,,,0,0%,-
Pausado,120235996076210450,TP824 - hook 1 body 2 cta 2 -  - 20.10,https://fb.me/2oCVQAiq5aOxG3w,20/10/2025,Pausado,R$ 508,"0,83%",R$ 110,2,R$ 254,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120234887297980450,TP802 - vertical hook 6 body 1 cta 1 -  - 06.10,https://fb.me/2cxv3xCJnKOl5y9,06/10/2025,Pausado,R$ 498,"0,75%",R$ 107,2,R$ 249,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120235996076230450,TP826 - hook 3 body 2 cta 2 -  - 20.10,https://fb.me/1YlMOqv5Rf9decA,20/10/2025,Pausado,R$ 490,"0,92%",R$ 136,2,R$ 245,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
Pausado,120235998177260450,TP822 - vertical hook 8 body 2 cta 1 -  - 20.10,https://fb.me/21GN8uuWPdL6qle,21/10/2025,Pausado,R$ 472,"0,77%",R$ 106,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120238257743690450,TP917 - vv-black-friday-2025-1- body 1- hook1 -  - 14.11,https://fb.me/1Y1k1ypoKn7wqD2,21/11/2025,Pausado,R$ 448,"0,60%",R$ 83,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120238257743720450,TP922 - vv-black-friday-2025-1- body 2- hook 3 -  - 14.11,https://fb.me/2ioUHK9U167NB65,21/11/2025,Pausado,R$ 436,"0,47%",R$ 128,0,-,0,-,-,0,-,-,-,0,,,,,,,0,-,-
Pausado,120235998177210450,TP830 - hook 7 body 2 cta 2 -  - 20.10,https://fb.me/2dHIcJt4b5Tumaj,21/10/2025,Pausado,R$ 412,"0,89%",R$ 126,5,R$ 82,0,0%,-,1,20%,R$ 412,"0,00%",0,"0,00%",,,,,,0,-,-
Ativo,120235996076200450,TP817 - vertical hook 3 body 2 cta 1 -  - 20.10,https://fb.me/2fJNLZGvz678WKt,20/10/2025,Ativo,R$ 396,"0,57%",R$ 84,6,R$ 66,0,0%,-,0,0%,-,-,0,,,,,,,0,-,-
